populations.8,full,Id,Bamberg,species,CLONE,continent,region,status
1,AV_10_S80_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_10,4,tbr,EARLY GEM,North America,US,cultivated
1,AV_11_S5_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_11,4,tbr,EARLY OHIO,North America,US,cultivated
1,AV_12_S62_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_12,4,tbr,EARLY ROSE,North America,US,cultivated
1,AV_15_S45_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_15,4,tbr,GARNET CHILI,North America,US,cultivated
1,AV_16_S91_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_16,4,tbr,GREEN MOUNTAIN,North America,US,cultivated
1,AV_17_S49_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_17,4,tbr,IRISH COBBLER,North America,US,cultivated
1,AV18_S1_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV18,4,tbr,KATAHDIN,North America,US,cultivated
1,AV_19_S35_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_19,4,tbr,KENNEBEC,North America,US,cultivated
1,AV_1_S46_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_1,4,tbr,ALASKA FROSTLESS,North America,US,cultivated
1,AV_20_S1_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_20,4,tbr,LEMHI RUSSET,North America,US,cultivated
1,AV21_S16_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV21,4,tbr,LENAPE,North America,US,cultivated
1,AV_23_S56_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_23,4,tbr,NORGOLD RUSSET,North America,US,cultivated
1,AV_24_S14_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_24,4,tbr,NORLAND,North America,US,cultivated
1,AV_25_S75_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_25,4,tbr,ONTARIO,North America,US,cultivated
1,AV_26_S11_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_26,4,tbr,OZETTE,North America,US,cultivated
1,AV27_S28_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV27,4,tbr,RED PONTIAC,North America,US,cultivated
1,AV2_S34_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV2,4,tbr,ATLANTIC,North America,US,cultivated
1,AV_32_S51_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_32,4,tbr,SACO,North America,US,cultivated
1,AV33_S5_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV33,4,tbr,SEBAGO,North America,US,cultivated
1,AV_35_S45_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_35,4,tbr,SNOWDRIFT,North America,US,cultivated
1,AV_37_S26_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_37,4,tbr,TRIUMPH,North America,US,cultivated
1,AV_39_S74_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_39,4,tbr,WHITE ROSE,North America,US,cultivated
1,AV_3_S85_R1_001_cutadapt_bowtie_sort_rg_marked.bam,AV_3,4,tbr,BAKE-KING,North America,US,cultivated
