Id,Script result,GBS2p(234),GBS2p(2345),GBS2p(24),Passport ploidy,species
AV_1,3,4,5,4,4,tbr
AV_10,4,4,4,4,4,tbr
AV_11,4,4,5,4,4,tbr
AV_12,3,4,4,4,4,tbr
AV_13,3,3,3,2,4,tbr
AV_15,4,4,5,4,4,tbr
AV_16,4,4,4,4,4,tbr
AV_17,5,4,4,4,4,tbr
AV_19,4,4,4,4,4,tbr
AV_20,4,3,5,4,4,tbr
AV_23,4,3,3,4,4,tbr
AV_24,5,4,5,4,4,tbr
AV_25,3,4,4,4,4,tbr
AV_26,3,4,4,4,4,tbr
AV_29,2,3,3,2,4,tbr
AV_3,4,4,4,4,4,tbr
AV_32,4,3,3,2,4,tbr
AV_35,4,4,4,4,4,tbr
AV_37,4,4,5,4,4,tbr
AV_38,5,3,5,2,4,tbr
AV_39,4,4,4,4,4,tbr
AV_4,4,4,4,4,4,tbr
AV_40,4,4,4,4,4,tbr
AV_42,4,3,5,2,4,tbr
AV_49,4,4,5,4,4,tbr
AV_50,4,4,4,4,4,tbr
AV_51,5,4,5,4,4,tbr
AV_55,2,3,3,2,4,tbr
AV_57,5,4,4,4,4,tbr
AV_58,4,4,4,4,4,tbr
AV_60,4,4,5,4,4,tbr
AV_61,4,4,4,4,4,tbr
AV_62,4,4,5,4,4,tbr
AV_64,4,4,4,4,4,tbr
AV_65,3,3,5,4,4,tbr
AV_66,4,4,4,4,4,tbr
AV_67,4,4,5,4,4,tbr
AV_68,3,4,4,4,4,tbr
AV_7,4,4,4,4,4,tbr
AV_8,4,4,4,4,4,tbr
AV18,4,4,4,4,4,tbr
AV2,4,4,4,4,4,tbr
AV21,4,4,5,4,4,tbr
AV22,5,2,5,2,4,tbr
AV27,5,4,5,4,4,tbr
AV33,4,4,5,4,4,tbr
AV48,4,4,5,4,4,tbr
AV5,5,4,5,4,4,tbr
AV53,4,3,5,2,4,tbr
AV54,4,3,5,2,4,tbr
AV56,4,4,5,4,4,tbr
AV9,4,4,4,4,4,tbr
BAO_049,4,2,2,2,4,tbr
BAO_050,2,3,3,2,4,tbr
BAO_051,5,4,4,4,4,tbr
BAO_052,4,3,5,2,4,tbr
BAO_053,4,4,5,4,4,tbr
BAO_054,4,4,4,4,4,tbr
BAO_056,4,4,5,4,4,tbr
BAO_057,4,4,4,4,4,tbr
BAO_058,5,4,4,4,4,tbr
BAO_059,6,4,4,4,4,tbr
BAO_061,3,4,4,4,4,tbr
BAO_062,4,4,5,4,4,tbr
BAO_063,4,4,4,4,4,tbr
BAO_064,4,4,4,4,4,tbr
BAO_065,4,4,5,4,4,tbr
BAO_066,4,4,4,4,4,tbr
BAO_067,4,3,3,2,4,tbr
BAO_068,3,3,3,2,4,tbr
BAO_069,5,4,5,4,4,tbr
BAO_070,5,3,3,2,4,tbr
BAO_071,3,4,5,4,4,tbr
BAO_072,4,3,3,4,4,tbr
BAO_073,3,3,3,2,4,tbr
BAO_074,4,4,4,4,4,tbr
BAO_075,4,4,5,4,4,tbr
BAO_076,5,2,5,2,4,tbr
BAO_080,4,2,5,2,5,tbr
BAO_081,4,2,5,2,5,tbr
BAO_082,5,2,2,2,2,tbr
BAO_083,3,3,3,2,4,tbr
BAO_084,3,3,5,4,4,tbr
BAO_085,4,3,3,2,4,tbr
BAO_086,4,3,3,2,4,tbr
BAO_087,5,3,5,2,4,tbr
BAO_088,4,4,4,4,4,tbr
BAO_089,5,4,5,4,4,tbr
BAO_090,4,4,5,4,4,tbr
BAO_091,3,4,5,4,4,tbr
BAO_092,4,4,4,4,4,tbr
BAO_093,4,4,5,4,4,tbr
BAO_094,4,4,5,4,4,tbr
BAO_095,3,4,5,4,4,tbr
BAO_096,4,4,5,4,4,tbr  adg
BAO_098,3,4,5,4,4,tbr tbr
BAO_100,3,4,4,4,4,tbr  adg
BAO_101,4,2,5,2,4,tbr  adg
BAO_102,5,4,5,4,4,tbr tbr
BAO_103,5,4,5,4,4,tbr  tbr
BAO_104,4,4,4,4,4,tbr  adg
BAO_105,5,4,4,4,4,tbr  adg
BAO_106,4,4,4,4,4,tbr  adg
BAO_107,4,4,4,4,4,tbr  adg
BAO_108,3,2,5,2,4,tbr  adg
BAO_109,6,4,4,4,4,tbr  adg
BAO_110,3,3,5,4,2,tbr  adg
BAO_111,5,4,4,4,4,tbr  adg
